/University,of,New,Hampshire-,Coastal,Ocean,Observing,Center,,,,,,,,,,,
/investigators=Joe_Salisbury,Doug_Vandemark,Ru_Morrison,Chris_Hunt,,,,,,,,,,,,,,,
/processing_date=20090220,,,,,,,,,,,,,,,,,,
/data,file,name=UNH_CO2_20090218.txt,,,,,,,,,,,,,,,,
/missing,value=-9999,,,,,,,,,,,,,,,,,
/delimiter=space,,,,,,,,,,,,,,,,,,
/contact=Doug_Vandemark(doug.vandemark@unh.edu),,,,,,,,,,,,,,,,,,
/PLEASE,NOTE:,Users,of,data,will,be,required,to,provide,proper,credit,and,acknowledgment,of,the,provider.,,
/Users,of,data,are,encouraged,to,discuss,relevant,findings,with,the,provider,early,in,the,research.,,,
/The,user,is,required,to,give,all,providers,of,the,data,being,used,a,copy,of,any,manuscript,resulting
/from,use,of,the,data,prior,to,the,initial,submission,for,publication,thus,giving,the,data,provider,,
/an,opportunity,to,comment,on,the,paper.,The,provider(s),shall,have,the,right,to,be,named,as,a,co-author.
year,day_of_year,secDay,lat,lon,heading,speed,Water_temp,salinity,pressure_atm,xCO2_w,fCO2_w,xCO2_a,fCO2_a,air_temp,,,,
yyyy,ddd,sec,degrees,degrees,degrees,m/s,degreesC,PSU,hPa,umol/mol,uatm,umol/mol,uatm,degreesC,,,,
2009,49,41487,43.0721,-70.7111,134,0,17.064,0.012,-9999,-9999,-9999,-9999,-9999,25,,,,
2009,49,41506,43.0721,-70.7111,133,0,17.039,0.012,-9999,-9999,-9999,-9999,-9999,25,,,,
2009,49,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,
2009,49,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,
2009,49,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,
2009,49,41594,43.0721,-70.7111,185,0,16.927,0.012,1019.9,-9999,-9999,-9999,-9999,25,,,,
2009,49,41607,43.0721,-70.7111,115,0,16.91,0.012,1019.9,-9999,-9999,-9999,-9999,25,,,,
2009,49,41627,43.0721,-70.7111,100,0,16.883,0.012,1019.9,-9999,-9999,-9999,-9999,25,,,,
2009,49,41647,43.0721,-70.7111,148,0,16.855,0.012,1019.9,-9999,-9999,-9999,-9999,25,,,,
2009,49,41667,43.0721,-70.7111,118,0,16.827,0.012,1019.9,-9999,-9999,-9999,-9999,25,,,,
2009,49,41687,43.0721,-70.7111,130,0,16.799,0.012,1019.9,-9999,-9999,-9999,-9999,25,,,,
2009,49,41707,43.0721,-70.7111,115,0,16.77,0.012,1019.9,-9999,-9999,-9999,-9999,25,,,,
2009,49,41727,43.0721,-70.7111,141,0,16.74,0.012,1019.9,-9999,-9999,-9999,-9999,25,,,,
2009,49,41747,43.0721,-70.7111,133,0,16.711,0.012,1019.9,-9999,-9999,-9999,-9999,25,,,,
2009,49,41767,43.0721,-70.7111,111,0,16.681,0.012,1020,-9999,-9999,-9999,-9999,25,,,,
2009,49,41787,43.0721,-70.7111,110,0,16.65,0.012,1020,-9999,-9999,-9999,-9999,25,,,,
2009,49,41807,43.0721,-70.7111,119,0,16.619,0.011,1020,-9999,-9999,-9999,-9999,25,,,,
2009,49,41827,43.0721,-70.7111,122,0,16.588,0.011,1020,-9999,-9999,-9999,-9999,25,,,,
2009,49,41847,43.0721,-70.7111,115,0,16.557,0.011,1020,-9999,-9999,-9999,-9999,25,,,,
2009,49,41867,43.0721,-70.7111,113,0,16.525,0.011,1020,-9999,-9999,-9999,-9999,25,,,,
2009,49,41887,43.0721,-70.7111,102,0,16.493,0.011,1020,-9999,-9999,-9999,-9999,25,,,,
2009,49,41907,43.0721,-70.7111,108,0,16.46,0.011,1020.1,-9999,-9999,-9999,-9999,25,,,,
2009,49,41927,43.0721,-70.7111,137,0,16.427,0.011,1020.1,-9999,-9999,-9999,-9999,25,,,,
2009,49,41947,43.0721,-70.7111,130,0,16.394,0.011,1020.1,-9999,-9999,-9999,-9999,25,,,,
2009,49,41967,43.0721,-70.7111,112,0,16.36,0.012,1020.1,-9999,-9999,-9999,-9999,25,,,,
2009,49,41987,43.0721,-70.7111,106,0,16.327,0.012,1020.1,-9999,-9999,-9999,-9999,25,,,,
2009,49,42007,43.0721,-70.7111,130,0,16.292,0.012,1020.1,-9999,-9999,-9999,-9999,25,,,,
2009,49,42027,43.0721,-70.7111,108,0,16.258,0.012,1020.1,-9999,-9999,-9999,-9999,25,,,,
2009,49,42047,43.0721,-70.7111,125,0,16.223,0.012,1020.2,-9999,-9999,-9999,-9999,25,,,,
2009,49,42067,43.0721,-70.7111,120,0,16.188,0.012,1020.2,-9999,-9999,-9999,-9999,25,,,,
2009,49,42087,43.0721,-70.7111,138,0,16.153,0.011,1020.2,-9999,-9999,-9999,-9999,25,,,,
2009,49,42107,43.0721,-70.7111,110,0,16.117,0.011,1020.2,-9999,-9999,-9999,-9999,25,,,,
2009,49,42127,43.0721,-70.7111,132,0,16.081,0.011,1020.2,-9999,-9999,-9999,-9999,25,,,,
2009,49,42147,43.0721,-70.7111,120,0,16.045,0.011,1020.2,-9999,-9999,-9999,-9999,25,,,,
2009,49,42167,43.0721,-70.7111,114,0,16.009,0.011,1020.2,-9999,-9999,-9999,-9999,25,,,,
2009,49,42187,43.0721,-70.7111,118,0,15.972,0.011,1020.2,-9999,-9999,-9999,-9999,25,,,,
2009,49,42207,43.0721,-70.7111,122,0,15.935,0.011,1020.2,-9999,-9999,-9999,-9999,25,,,,
2009,49,42227,43.0721,-70.7111,125,0,15.898,0.011,1020.2,-9999,-9999,-9999,-9999,25,,,,
2009,49,42247,43.0721,-70.7111,109,0,15.861,0.011,1020.2,-9999,-9999,-9999,-9999,25,,,,
2009,49,42267,43.0721,-70.7111,105,0,15.823,0.011,1020.2,-9999,-9999,-9999,-9999,25,,,,
2009,49,42287,43.0721,-70.7111,115,0,15.785,0.011,1020.2,-9999,-9999,-9999,-9999,25,,,,
2009,49,42307,43.0721,-70.7111,126,0,15.747,0.011,1020.2,-9999,-9999,-9999,-9999,25,,,,
2009,49,42327,43.0721,-70.7111,119,0,15.709,0.011,1020.2,-9999,-9999,-9999,-9999,25,,,,
2009,49,42347,43.0721,-70.7111,131,0,15.67,0.011,1020.2,-9999,-9999,-9999,-9999,25,,,,
2009,49,42367,43.0721,-70.7111,125,0,15.631,0.011,1020.2,-9999,-9999,-9999,-9999,25,,,,
2009,49,42387,43.0721,-70.7111,136,0,15.592,0.011,1020.2,-9999,-9999,-9999,-9999,25,,,,
2009,49,42407,43.0721,-70.7111,123,0,15.552,0.011,1020.2,-9999,-9999,-9999,-9999,25,,,,
2009,49,42427,43.0721,-70.7111,147,0,15.512,0.011,1020.2,-9999,-9999,-9999,-9999,25,,,,
2009,49,42447,43.0721,-70.7111,132,0,15.472,0.011,1020.2,-9999,-9999,-9999,-9999,25,,,,
2009,49,42467,43.0721,-70.7111,136,0,15.432,0.011,1020.2,-9999,-9999,-9999,-9999,25,,,,
2009,49,42487,43.0721,-70.7111,109,0,15.391,0.011,1020.2,-9999,-9999,-9999,-9999,25,,,,
2009,49,42507,43.0721,-70.7111,125,0,15.35,0.011,1020.2,-9999,-9999,-9999,-9999,25,,,,
